DOID:5585	ferguson-smith tumor|ferguson-smith tumors|ferguson-smith tumour|multiple self healing epithelioma of ferguson-smith
DOID:1357	mal neo maxillary sinus|malignant maxillary sinus neoplasm|malignant maxillary sinus neoplasms|malignant maxillary sinus tumor|malignant maxillary sinus tumors|malignant maxillary sinus tumour|malignant neoplasm of antrum|malignant neoplasm of antrum of highmore|malignant neoplasm of maxillary antrum|malignant neoplasm of maxillary sinus|malignant neoplasm of the maxillary sinus|malignant tumor of maxillary sinus|malignant tumor of the maxillary sinus|malignant tumour of maxillary sinus|malignant tumour of the maxillary sinus|maxillary sinus cancer|maxillary sinus cancers|maxillary sinus carcinoma|maxillary sinus carcinomas
DOID:1752	ocular melanoma|ocular melanomas
DOID:0060079	her2-receptor positive breast cancer|her2-receptor positive breast cancers
DOID:2599	cancer of glottis|cancer of the glottis|carcinoma glottis|carcinoma of glottis|carcinoma of the glottis|glottic carcinoma|glottic carcinomas|glottis cancer|glottis cancers|glottis carcinoma|glottis carcinomas
DOID:1192	cns-excluded nervous sys. cancer|cns-excluded nervous sys. cancers|neopl nerve sheath|neoplasm of nerve sheath|neoplasm of peripheral nerve|neoplasm of peripheral nervous system|neoplasm of pns|neoplasm of the nerve sheath|neoplasm of the peripheral nerve|neoplasm of the peripheral nervous system|neoplasm of the pns|nerve neoplasms peripheral|nerve sheath neopl|nerve sheath neoplasm|nerve sheath neoplasms|nerve sheath neoplasms [disease/finding]|nerve sheath tumor|nerve sheath tumors|nerve sheath tumour|nerve sheath tumours|nerves peripheral tumours|peripheral nerve neopl|peripheral nerve neoplasm|peripheral nerve neoplasms|peripheral nerve tumor|peripheral nerve tumors|peripheral nerve tumour|peripheral nerve tumours|peripheral nervous system neoplasm|peripheral nervous system neoplasms|peripheral nervous system neoplasms [disease/finding]|peripheral nervous system tumor|peripheral nervous system tumors|peripheral nervous system tumour|pns neopl|pns neoplasm|pns neoplasms|pns tumor|pns tumors|pns tumour|sheath nerve tumor|sheath nerve tumors|sheath nerve tumour|tumor nerve sheath|tumor of nerve sheath|tumor of peripheral nerve|tumor of peripheral nervous system|tumor of pns|tumor of the peripheral nerve|tumor of the peripheral nervous system|tumor of the pns|tumors of the nerve sheath|tumour nerve sheath|tumour of nerve sheath|tumour of peripheral nerve|tumour of peripheral nervous system|tumour of pns|tumour of the peripheral nerve|tumour of the peripheral nervous system|tumour of the pns|tumours of the nerve sheath
DOID:4203	adult brain stem neoplasm|adult brain stem neoplasms|adult brain stem tumor|adult brain stem tumors|adult brain stem tumour|adult brainstem neoplasm|adult brainstem neoplasms|adult brainstem tumor|adult brainstem tumors|adult brainstem tumour|brain stem cancer|brain stem cancers|brain stem neopl|brain stem neopl primary|brain stem neoplasm|brain stem neoplasms|brain stem neoplasms [disease/finding]|brain stem tumor|brain stem tumors|brain stem tumour|brain stem tumours|brainstem neopl|brainstem neopl primary|brainstem neoplasm|brainstem neoplasms|brainstem tumor|brainstem tumors|brainstem tumour|brainstem tumours|mal neo brain stem|malignant brain stem neoplasm|malignant brain stem neoplasms|malignant brain stem tumor|malignant brain stem tumors|malignant brain stem tumour|malignant brainstem neoplasm|malignant brainstem neoplasms|malignant brainstem tumor|malignant brainstem tumors|malignant brainstem tumour|malignant neoplasm of brain stem|malignant neoplasm of brainstem|malignant neoplasm of the brain stem|malignant neoplasm of the brainstem|malignant tumor of brain stem|malignant tumor of brainstem|malignant tumor of the brain stem|malignant tumor of the brainstem|malignant tumour of brain stem|malignant tumour of brainstem|malignant tumour of the brain stem|malignant tumour of the brainstem|neopl brain stem|neopl brainstem|neopl brainstem primary|neoplasm of adult brain stem|neoplasm of adult brainstem|neoplasm of brain stem|neoplasm of brainstem|neoplasm of the adult brain stem|neoplasm of the adult brainstem|neoplasm of the brain stem|neoplasm of the brainstem|primary brain stem neopl|primary brain stem neoplasm|primary brain stem neoplasms|primary brain stem tumor|primary brain stem tumors|primary brain stem tumour|primary brainstem neopl|primary brainstem neoplasm|primary brainstem neoplasms|tumor brain stem|tumor of adult brain stem|tumor of adult brainstem|tumor of brain stem|tumor of brainstem|tumor of the adult brain stem|tumor of the adult brainstem|tumor of the brain stem|tumor of the brainstem|tumour brain stem|tumour of adult brain stem|tumour of adult brainstem|tumour of brain stem|tumour of brainstem|tumour of the adult brain stem|tumour of the adult brainstem|tumour of the brain stem|tumour of the brainstem
DOID:2669	pacinian neurofibroma|pacinian neurofibromas|pacinian tumor|pacinian tumors|pacinian tumour
DOID:0080145	t-cell childhood acute lymphocytic leukemia
DOID:0080146	b-cell childhood acute lymphoblastic leukemia
DOID:3368	bone ewing's sarcoma|bone ewing's sarcomas|ewing sarcoma of bone|ewing sarcoma/peripheral primitive neuroectodermal tumor of bone|ewing sarcoma/peripheral primitive neuroectodermal tumour of bone|ewing's sarcoma of bone|ewing's sarcoma/peripheral primitive neuroectodermal tumor of bone|ewing's sarcoma/peripheral primitive neuroectodermal tumour of bone|localized bone ewing sarcoma|localized bone ewing sarcomas|localized bone ewing's sarcoma|localized bone ewing's sarcomas|localized ewing's sarcoma of bone|localized ewing's sarcoma of the bone|localized osseous ewing's sarcoma|localized osseous ewing's sarcomas|localized skeletal ewing's sarcoma|localized skeletal ewing's sarcomas|osseous ewing's sarcoma|osseous ewing's sarcomas|osseous ewing's tumor|osseous ewing's tumors|osseous ewing's tumour|skeletal ewing's sarcoma|skeletal ewing's sarcomas|skeletal ewing's tumor|skeletal ewing's tumors|skeletal ewing's tumour
DOID:13476	malig neo supraglottis|malignant neoplasm of extrinsic larynx|malignant neoplasm of supraglottis|malignant neoplasm of the supraglottis|malignant supraglottic neoplasm|malignant supraglottic neoplasms|malignant supraglottic tumor|malignant supraglottic tumors|malignant supraglottic tumour|malignant supraglottis neoplasm|malignant supraglottis neoplasms|malignant supraglottis tumor|malignant supraglottis tumors|malignant supraglottis tumour|malignant tumor of supraglottis|malignant tumor of the supraglottis|malignant tumour of supraglottis|malignant tumour of the supraglottis|supraglottis cancer|supraglottis cancers
DOID:0050743	mature t-cell and nk-cell lymphoma|mature t-cell and nk-cell lymphomas
DOID:8747	subacute myeloid leukemia
DOID:0050620	infiltrating renal pelvis transitional cell carcinoma|infiltrating renal pelvis transitional cell carcinomas
DOID:5410	lung neuroendocrine neoplasm|lung neuroendocrine neoplasms|neuroendocrine neoplasm of lung|neuroendocrine neoplasm of the lung|pulmonary neuroendocrine neoplasm|pulmonary neuroendocrine neoplasms|pulmonary neuroendocrine tumor|pulmonary neuroendocrine tumors|pulmonary neuroendocrine tumour
DOID:10661	ganglioneuroblastoma of mediastinum|ganglioneuroblastoma of the mediastinum|mediastinal ganglioneuroblastoma|mediastinal ganglioneuroblastomas|mediastinum ganglioneuroblastoma|mediastinum ganglioneuroblastomas
DOID:8051	bladder papillary clear cell adenocarcinoma|bladder papillary clear cell adenocarcinomas
DOID:4708	foramen magnum meningioma|foramen magnum meningiomas|meningioma of foramen magnum|meningioma of the foramen magnum
DOID:4922	breast secretory carcinoma|breast secretory carcinomas|cystic hypersecretory breast carcinoma|cystic hypersecretory breast carcinomas|cystic hypersecretory carcinoma of breast|cystic hypersecretory carcinoma of the breast|infiltrating cystic hypersecretory duct breast carcinoma|infiltrating cystic hypersecretory duct breast carcinomas|invasive cystic hypersecretory duct breast carcinoma|invasive cystic hypersecretory duct breast carcinomas|juvenile breast carcinoma|juvenile breast carcinomas|juvenile carcinoma of breast|juvenile carcinoma of the breast|juvenile secretory breast carcinoma|juvenile secretory breast carcinomas|juvenile secretory carcinoma of breast|juvenile secretory carcinoma of the breast|secretory breast carcinoma|secretory breast carcinomas|secretory carcinoma|secretory carcinoma of breast|secretory carcinoma of the breast|secretory carcinomas
DOID:1293	carcinoma of labia minora|carcinoma of the labia minora|labia minora cancer|labia minora cancers|labia minora carcinoma|labia minora carcinomas
DOID:0060592	b-cell adult acute lymphocytic leukemia
DOID:2150	ovarian lymphoma|ovarian lymphomas|primary ovarian lymphoma|primary ovarian lymphomas
DOID:4000	malignant ovarian transitional cell neoplasm|malignant ovarian transitional cell neoplasms|malignant ovarian transitional cell tumor|malignant ovarian transitional cell tumors|malignant ovarian transitional cell tumour|ovarian transitional cell carcinoma|ovarian transitional cell carcinomas|ovarian transitional cell neoplasm|ovarian transitional cell neoplasms|ovarian transitional cell tumor|ovarian transitional cell tumors|ovarian transitional cell tumour|ovary transitional cell carcinoma|ovary transitional cell carcinomas|transitional cell carcinoma of ovary|transitional cell carcinoma of the ovary
DOID:2129	at/rt|att/rht|atypical teratoid rhabdoid tumor|atypical teratoid rhabdoid tumors|atypical teratoid rhabdoid tumour|atypical teratoid/rhabdoid tumor|atypical teratoid/rhabdoid tumor (who grade iv)|atypical teratoid/rhabdoid tumors|atypical teratoid/rhabdoid tumour|atypical teratoid/rhabdoid tumour (who grade iv)|central nervous system rhabdoid neoplasm|central nervous system rhabdoid neoplasms|central nervous system rhabdoid tumor|central nervous system rhabdoid tumors|central nervous system rhabdoid tumour|cns rhabdoid neoplasm|cns rhabdoid neoplasms|cns rhabdoid tumor|cns rhabdoid tumors|cns rhabdoid tumour|malignant brain rhabdoid neoplasm|malignant brain rhabdoid neoplasms|malignant brain rhabdoid tumor|malignant brain rhabdoid tumors|malignant brain rhabdoid tumour|malignant rhabdoid neoplasm of brain|malignant rhabdoid neoplasm of the brain|malignant rhabdoid tumor of brain|malignant rhabdoid tumor of the brain|malignant rhabdoid tumour of brain|malignant rhabdoid tumour of the brain|primary malignant brain rhabdoid neoplasm|primary malignant brain rhabdoid neoplasms|primary malignant brain rhabdoid tumor|primary malignant brain rhabdoid tumors|primary malignant brain rhabdoid tumour|primary malignant rhabdoid neoplasm of brain|primary malignant rhabdoid neoplasm of the brain|primary malignant rhabdoid tumor of brain|primary malignant rhabdoid tumor of the brain|primary malignant rhabdoid tumour of brain|primary malignant rhabdoid tumour of the brain|rhabdoid neoplasm of central nervous system|rhabdoid neoplasm of cns|rhabdoid neoplasm of the central nervous system|rhabdoid neoplasm of the cns|rhabdoid tumor of central nervous system|rhabdoid tumor of cns|rhabdoid tumor of the central nervous system|rhabdoid tumor of the cns|rhabdoid tumour of central nervous system|rhabdoid tumour of cns|rhabdoid tumour of the central nervous system|rhabdoid tumour of the cns
DOID:11239	appendiceal cancer|appendiceal cancers|appendix cancer|appendix cancers|appendix tumor malignant|appendix tumour malignant|cancer appendix|cancer of appendix|cancer of the appendix|malignant appendix neoplasm|malignant appendix neoplasms|malignant appendix tumor|malignant appendix tumors|malignant appendix tumour|malignant neo appendix|malignant neoplasm of appendix|malignant neoplasm of appendix vermiformis|malignant neoplasm of the appendix|malignant tumor of appendix|malignant tumor of the appendix|malignant tumour of appendix|malignant tumour of the appendix
DOID:4716	gastric germ cell neoplasm|gastric germ cell neoplasms|gastric germ cell tumor|gastric germ cell tumors|gastric germ cell tumour|germ cell neoplasm of stomach|germ cell neoplasm of the stomach|germ cell tumor of stomach|germ cell tumor of the stomach|germ cell tumour of stomach|germ cell tumour of the stomach|malignant gastric germ cell tumor|malignant gastric germ cell tumors|malignant gastric germ cell tumour|stomach germ cell neoplasm|stomach germ cell neoplasms|stomach germ cell tumor|stomach germ cell tumors|stomach germ cell tumour
DOID:4717	cell extragonadal germ tumors|cell extragonadal germ tumours|extragonadal germ cell cancer|extragonadal germ cell cancers|extragonadal germ cell neoplasm|extragonadal germ cell neoplasms|extragonadal germ cell tumor|extragonadal germ cell tumors|extragonadal germ cell tumour|malignant extragonadal germ cell tumor|malignant extragonadal germ cell tumors|malignant extragonadal germ cell tumour|malignant neoplasm of extragonadal germ cell|malignant neoplasm of the extragonadal germ cell|malignant tumor of extragonadal germ cell|malignant tumor of the extragonadal germ cell|malignant tumour of extragonadal germ cell|malignant tumour of the extragonadal germ cell|neoplasm of extragonadal germ cell|neoplasm of the extragonadal germ cell|primary extragonadal germ cell tumor|primary extragonadal germ cell tumors|primary extragonadal germ cell tumour|tumor of extragonadal germ cell|tumor of the extragonadal germ cell|tumour of extragonadal germ cell|tumour of the extragonadal germ cell
DOID:0050901	corpus callosum oligodendroglioma|corpus callosum oligodendrogliomas
DOID:0050905	inflammatory myofibroblastic tumor|inflammatory myofibroblastic tumors|inflammatory myofibroblastic tumour
DOID:4846	cauda equina intradural extramedullary astrocytoma|cauda equina intradural extramedullary astrocytomas|intradural extramedullary astrocytoma of cauda equina|intradural extramedullary astrocytoma of the cauda equina|intradural extramedullary cauda equina astrocytoma|intradural extramedullary cauda equina astrocytomas
DOID:0050907	mixed extragonadal germ cell cancer|mixed extragonadal germ cell cancers
DOID:10660	mediastinal neuroblastoma|mediastinal neuroblastomas|mediastinum neuroblastoma|mediastinum neuroblastomas|neuroblastoma of mediastinum|neuroblastoma of the mediastinum
DOID:5550	choriocarcinoma of ovary|choriocarcinoma of the ovary|germ cell choriocarcinoma of ovary|germ cell choriocarcinoma of the ovary|ovarian choriocarcinoma|ovarian choriocarcinomas|ovarian germ cell choriocarcinoma|ovarian germ cell choriocarcinomas
DOID:3151	cancer cell skin squamous|cancers cell skin squamous|carcinoma cell skin squamous|cutaneous squamous cell carcinoma|cutaneous squamous cell carcinomas|epidermoid carcinoma of skin|epidermoid carcinoma of the skin|epidermoid skin carcinoma|epidermoid skin carcinomas|skin squamous cell cancer|skin squamous cell cancers|skin squamous cell carcinoma|skin squamous cell carcinomas|squamous cell carcinoma - skin|squamous cell carcinoma of skin|squamous cell carcinoma of the skin|squamous cell carcinoma skin|squamous cell skin cancer|squamous cell skin cancers|squamous cell skin carcinoma|squamous cell skin carcinomas|squamous skin carcinoma|squamous skin carcinomas
DOID:3865	adult central nervous system primitive neuroectodermal neoplasm|adult central nervous system primitive neuroectodermal neoplasms|adult central nervous system primitive neuroectodermal tumor|adult central nervous system primitive neuroectodermal tumors|adult central nervous system primitive neuroectodermal tumour|adult central primitive neuroectodermal neoplasm|adult central primitive neuroectodermal neoplasms|adult central primitive neuroectodermal tumour|adult central primitive neuroectodermal tumours|adult cns pnet|adult cns primitive neuroectodermal neoplasm|adult cns primitive neuroectodermal neoplasms|adult cns primitive neuroectodermal tumor|adult cns primitive neuroectodermal tumors|adult cns primitive neuroectodermal tumour
DOID:4647	trilateral retinoblastoma|trilateral retinoblastomas
DOID:2705	malignant giant cell neoplasm|malignant giant cell neoplasms|malignant giant cell tumor|malignant giant cell tumors|malignant giant cell tumour
DOID:4231	histiocytoma|histiocytoma [disease/finding]|histiocytomas
DOID:14534	cardiac mpnst|heart mpnst|malignant cardiac neurilemmoma|malignant cardiac neurilemmomas|malignant cardiac peripheral nerve sheath neoplasm|malignant cardiac peripheral nerve sheath neoplasms|malignant cardiac peripheral nerve sheath tumor|malignant cardiac peripheral nerve sheath tumors|malignant cardiac peripheral nerve sheath tumour|malignant cardiac schwannoma|malignant cardiac schwannomas|malignant heart neurilemmoma|malignant heart neurilemmomas|malignant heart peripheral nerve sheath neoplasm|malignant heart peripheral nerve sheath neoplasms|malignant heart peripheral nerve sheath tumor|malignant heart peripheral nerve sheath tumors|malignant heart peripheral nerve sheath tumour|malignant heart schwannoma|malignant heart schwannomas|malignant neurilemmoma of heart|malignant neurilemmoma of the heart|malignant peripheral nerve sheath neoplasm of heart|malignant peripheral nerve sheath neoplasm of the heart|malignant peripheral nerve sheath tumor of heart|malignant peripheral nerve sheath tumor of the heart|malignant peripheral nerve sheath tumour of heart|malignant peripheral nerve sheath tumour of the heart|malignant schwannoma of heart|malignant schwannoma of the heart|mpnst of heart|mpnst of the heart
DOID:5716	functioning pituitary gland neoplasm|functioning pituitary gland neoplasms|growth hormone producing neoplasm of pituitary|growth hormone producing neoplasm of pituitary gland|growth hormone producing neoplasm of the pituitary|growth hormone producing neoplasm of the pituitary gland|growth hormone producing pituitary gland neoplasm|growth hormone producing pituitary gland neoplasms|growth hormone producing pituitary gland tumor|growth hormone producing pituitary gland tumors|growth hormone producing pituitary gland tumour|growth hormone producing pituitary neoplasm|growth hormone producing pituitary neoplasms|growth hormone producing pituitary tumor|growth hormone producing pituitary tumors|growth hormone producing pituitary tumour|growth hormone producing tumor|growth hormone producing tumor of pituitary|growth hormone producing tumor of pituitary gland|growth hormone producing tumor of the pituitary|growth hormone producing tumor of the pituitary gland|growth hormone producing tumors|growth hormone producing tumour|growth hormone producing tumour of pituitary|growth hormone producing tumour of pituitary gland|growth hormone producing tumour of the pituitary|growth hormone producing tumour of the pituitary gland|growth hormone secreting neoplasm of pituitary|growth hormone secreting neoplasm of pituitary gland|growth hormone secreting neoplasm of the pituitary|growth hormone secreting neoplasm of the pituitary gland|growth hormone secreting pituitary gland neoplasm|growth hormone secreting pituitary gland neoplasms|growth hormone secreting pituitary gland tumor|growth hormone secreting pituitary gland tumors|growth hormone secreting pituitary gland tumour|growth hormone secreting pituitary neoplasm|growth hormone secreting pituitary neoplasms|growth hormone secreting pituitary tumor|growth hormone secreting pituitary tumors|growth hormone secreting pituitary tumour|growth hormone secreting tumor of pituitary|growth hormone secreting tumor of pituitary gland|growth hormone secreting tumor of the pituitary|growth hormone secreting tumor of the pituitary gland|growth hormone secreting tumour of pituitary|growth hormone secreting tumour of pituitary gland|growth hormone secreting tumour of the pituitary|growth hormone secreting tumour of the pituitary gland|growth hormone-producing pituitary gland neoplasm|growth hormone-producing pituitary gland neoplasms|growth hormone-producing pituitary tumor|growth hormone-producing pituitary tumors|growth hormone-producing pituitary tumour|hormone producing pituitary cancer|hormone producing pituitary cancers|hormone producing pituitary neoplasm|hormone producing pituitary neoplasms|pituitary gland somatotropinoma|pituitary gland somatotropinomas|pituitary somatotropinoma|pituitary somatotropinomas|somatotrophinoma|somatotrophinomas|somatotropinoma|somatotropinoma of pituitary|somatotropinoma of pituitary gland|somatotropinoma of the pituitary|somatotropinoma of the pituitary gland|somatotropinomas
DOID:14535	malignant cardiac germ cell neoplasm|malignant cardiac germ cell neoplasms|malignant cardiac germ cell tumor|malignant cardiac germ cell tumors|malignant cardiac germ cell tumour|malignant germ cell neoplasm of heart|malignant germ cell neoplasm of the heart|malignant germ cell tumor of heart|malignant germ cell tumor of the heart|malignant germ cell tumour of heart|malignant germ cell tumour of the heart|malignant heart germ cell neoplasm|malignant heart germ cell neoplasms|malignant heart germ cell tumor|malignant heart germ cell tumors|malignant heart germ cell tumour
DOID:3254	bile duct rhabdomyosarcoma|bile duct rhabdomyosarcomas|extrahepatic bile duct rhabdomyosarcoma|extrahepatic bile duct rhabdomyosarcomas|rhabdomyosarcoma of extrahepatic bile duct|rhabdomyosarcoma of the extrahepatic bile duct
DOID:7492	central epithelioid sarcoma|central epithelioid sarcomas|proximal-type epithelioid sarcoma|proximal-type epithelioid sarcomas
DOID:4944	adenocarcinoma - gej|adenocarcinoma of cardioesophageal junction|adenocarcinoma of gastroesophageal junction|adenocarcinoma of the cardioesophageal junction|adenocarcinoma of the eg junction|adenocarcinoma of the esophagogastric junction|adenocarcinoma of the gastroesophageal junction|adenocarcinoma of the ge junction|gastroesophageal junction adenocarcinoma|gastroesophageal junction adenocarcinomas
DOID:10153	ileum cancer|ileum cancers|malignant neoplasm ileum|malignant neoplasm of ileum
DOID:0050748	marginal zone b-cell lymphoma|marginal zone b-cell lymphomas
DOID:8009	mixed squamous cell carcinoma of the penis|penis mixed squamous cell carcinoma|penis mixed squamous cell carcinomas
DOID:7697	pancreatic acth hormone producing tumor|pancreatic acth hormone producing tumors|pancreatic acth hormone producing tumour|pancreatic acth producing net|pancreatic acth producing neuroendocrine tumor|pancreatic acth producing neuroendocrine tumors|pancreatic acth producing neuroendocrine tumour|pancreatic acth producing tumor|pancreatic acth producing tumors|pancreatic acth producing tumour|pancreatic acth-producing neuroendocrine tumor|pancreatic acth-producing neuroendocrine tumors|pancreatic acth-producing neuroendocrine tumour|pancreatic adrenocorticotropic hormone producing tumor|pancreatic adrenocorticotropic hormone producing tumors|pancreatic adrenocorticotropic hormone producing tumour
DOID:0050900	sacrum chordoma|sacrum chordomas
DOID:171	neuroectodermal neoplasm|neuroectodermal neoplasms|neuroectodermal tumor|neuroectodermal tumors|neuroectodermal tumors [disease/finding]|neuroectodermal tumour|neuroectodermal tumours|neuroectodermal tumours [disease/finding]
DOID:6167	prostatic urethral cancer|prostatic urethral cancers|prostatic urethral malignant neoplasm|prostatic urethral malignant neoplasms
DOID:7933	childhood precursor t-lymphoblastic lymphoma/leukemia|childhood t lymphoblastic leukemia/lymphoma|childhood t lymphoblastic leukemia/lymphomas
DOID:2135	mal neo temporal lobe|malignant neoplasm of temporal lobe|neoplasm of temporal lobe|neoplasm of the temporal lobe|temporal lobe neoplasm|temporal lobe neoplasms|temporal lobe tumor|temporal lobe tumors|temporal lobe tumour|tumor of temporal lobe|tumor of the temporal lobe|tumour of temporal lobe|tumour of the temporal lobe
DOID:4593	childhood meningioma|childhood meningiomas|pediatric meningioma|pediatric meningiomas
DOID:8161	hurthle cell carcinoma of the thyroid|hurthle cell carcinoma of the thyroid gland|hurthle cell carcinoma of thyroid|hurthle cell carcinoma of thyroid gland|hurthle cell thyroid gland carcinoma|hurthle cell thyroid gland carcinomas|hurthle cell thyroid neoplasia|oncocytic carcinoma of the thyroid|oncocytic carcinoma of thyroid|thyroid gland hurthle cell carcinoma|thyroid gland hurthle cell carcinomas|thyroid gland oncocytic follicular carcinoma|thyroid gland oncocytic follicular carcinomas|thyroid hurthle cell carcinoma|thyroid hurthle cell carcinomas|thyroid oncocytic carcinoma|thyroid oncocytic carcinomas
DOID:8420	glandular malignant peripheral nerve sheath tumor|glandular malignant peripheral nerve sheath tumors|glandular malignant peripheral nerve sheath tumour|glandular mpnst|malignant glandular neoplasm of peripheral nerve sheath|malignant glandular neoplasm of the peripheral nerve sheath|malignant glandular peripheral nerve sheath neoplasm|malignant glandular peripheral nerve sheath neoplasms|malignant glandular peripheral nerve sheath tumor|malignant glandular peripheral nerve sheath tumors|malignant glandular peripheral nerve sheath tumour|malignant glandular schwannoma|malignant glandular schwannomas|malignant glandular tumor of peripheral nerve sheath|malignant glandular tumor of the peripheral nerve sheath|malignant glandular tumour of peripheral nerve sheath|malignant glandular tumour of the peripheral nerve sheath
DOID:4556	anaplastic large cell lung cancer|anaplastic large cell lung cancers|anaplastic lung carcinoma|anaplastic lung carcinomas|cancer cells large lung|carcinoma cell large lung|carcinoma cell large lungs|large cell cancer lung|large cell carcinoma lung|large cell carcinoma of lung|large cell carcinoma of the lung|large cell lung cancer|large cell lung cancers|large cell lung carcinoma|large cell lung carcinomas|large cell undifferentiated lung carcinoma|large cell undifferentiated lung carcinomas|lung cancer large cell|lung large cell carcinoma|lung large cell carcinomas|undifferentiated large cell lung cancer|undifferentiated large cell lung cancers
DOID:8601	malig neo upper gum|malignant neoplasm of upper gum|malignant tumor of upper gingiva|malignant tumour of upper gingiva|upper gum cancer|upper gum cancers
DOID:5059	childhood cerebellar neoplasm|childhood cerebellar neoplasms|childhood cerebellar tumor|childhood cerebellar tumors|childhood cerebellar tumour|childhood cerebellar tumours|childhood neoplasm of cerebellum|childhood neoplasm of the cerebellum|childhood tumor of cerebellum|childhood tumor of the cerebellum|childhood tumour of cerebellum|childhood tumour of the cerebellum|pediatric cerebellar neoplasm|pediatric cerebellar neoplasms|pediatric cerebellar tumor|pediatric cerebellar tumors|pediatric cerebellar tumour|pediatric neoplasm of cerebellum|pediatric neoplasm of the cerebellum|pediatric tumor of cerebellum|pediatric tumor of the cerebellum|pediatric tumour of cerebellum|pediatric tumour of the cerebellum
DOID:962	neurofibroma|neurofibroma (who grade i)|neurofibroma [disease/finding]|neurofibromas
